case_id,fir_number,district,station,date,crime_type,entry_method,weapon,target_type,time_band,status,hidden_serial_cluster_GROUND_TRUTH
C-5039,FIR/2025/412,Ballari,Gandhinagar PS,2025-08-08,Vehicle Theft,Rear grill cut,Firearm (threat only),Pedestrian - gold chain,Evening (6-9PM),Unsolved,
C-5040,FIR/2025/277,Hubballi Dharwad,Vidyanagar PS,2025-05-03,Burglary,Door lock broken,Knife,Two-wheeler parked,Late night (12-4AM),Solved,
C-5041,FIR/2025/133,Hubballi Dharwad,Vidyanagar PS,2025-05-30,Chain Snatching,Window forced,Firearm (threat only),Pedestrian - gold chain,Night (9PM-12AM),Unsolved,
C-5042,FIR/2025/535,Mysuru City,Devaraja PS,2025-04-12,Robbery,No forced entry - distraction,Firearm (threat only),Residential house,Early morning (4-7AM),Unsolved,
C-5043,FIR/2025/269,Bengaluru City,Yeshwanthpur PS,2025-01-31,Vehicle Theft,No forced entry - distraction,Knife,Two-wheeler parked,Early morning (4-7AM),Solved,
C-5044,FIR/2025/378,Ballari,Gandhinagar PS,2025-07-26,Robbery,Wall scaled,None,Pedestrian - gold chain,Daytime (10AM-4PM),Under Investigation,
C-5045,FIR/2025/718,Hubballi Dharwad,Gokul Road PS,2025-06-15,House Break-in,Window forced,None - snatch and run,Residential house,Evening (6-9PM),Under Investigation,
C-5046,FIR/2025/690,Mangaluru City,Bunder PS,2025-05-18,Burglary,Door lock broken,None - snatch and run,Retail shop,Late night (12-4AM),Under Investigation,
C-5047,FIR/2025/750,Bengaluru City,Indiranagar PS,2025-08-12,House Break-in,Rear grill cut,Firearm (threat only),Two-wheeler parked,Early morning (4-7AM),Under Investigation,
C-5048,FIR/2025/978,Ballari,Gandhinagar PS,2025-02-23,Burglary,Wall scaled,Blunt object,Pedestrian - gold chain,Daytime (10AM-4PM),Unsolved,
C-5049,FIR/2025/565,Mysuru City,Devaraja PS,2025-01-19,Assault,No forced entry - distraction,Firearm (threat only),Two-wheeler parked,Evening (6-9PM),Under Investigation,
C-5050,FIR/2025/573,Bengaluru City,Koramangala PS,2025-10-05,Robbery,Unlocked entry,None,Pedestrian - gold chain,Night (9PM-12AM),Solved,
C-5051,FIR/2025/878,Belagavi City,Camp PS,2025-08-15,Vehicle Theft,Rear grill cut,Blunt object,Retail shop,Evening (6-9PM),Under Investigation,
C-5052,FIR/2025/224,Bengaluru City,Indiranagar PS,2025-09-06,Robbery,Rear grill cut,Knife,Two-wheeler parked,Evening (6-9PM),Under Investigation,
C-5053,FIR/2025/517,Bengaluru City,RT Nagar PS,2025-10-10,Vehicle Theft,No forced entry - distraction,Knife,Two-wheeler parked,Night (9PM-12AM),Solved,
C-5054,FIR/2025/621,Bengaluru City,Indiranagar PS,2025-05-30,Burglary,Wall scaled,None,ATM area,Early morning (4-7AM),Unsolved,
C-5055,FIR/2025/492,Tumakuru,Bugudanahalli PS,2025-03-16,Assault,Wall scaled,Firearm (threat only),Jewellery shop,Evening (6-9PM),Under Investigation,
C-5056,FIR/2025/940,Mysuru City,Lakshmipuram PS,2025-05-17,Chain Snatching,Window forced,Blunt object,Pedestrian - gold chain,Daytime (10AM-4PM),Under Investigation,
C-5057,FIR/2025/651,Bengaluru City,Koramangala PS,2025-08-17,Robbery,Rear grill cut,None - snatch and run,ATM area,Evening (6-9PM),Solved,
C-5058,FIR/2025/814,Belagavi City,Shahapur PS,2025-04-07,Cheating/Fraud,Rear grill cut,None - snatch and run,Pedestrian - gold chain,Evening (6-9PM),Unsolved,
C-5059,FIR/2025/822,Mysuru City,Lakshmipuram PS,2025-08-31,Assault,Door lock broken,Firearm (threat only),Residential house,Daytime (10AM-4PM),Under Investigation,
C-5060,FIR/2025/704,Ballari,Gandhinagar PS,2025-09-15,Assault,No forced entry - distraction,Knife,Pedestrian - gold chain,Late night (12-4AM),Solved,
C-5061,FIR/2025/519,Mangaluru City,Bunder PS,2025-03-15,House Break-in,Window forced,None - snatch and run,Pedestrian - gold chain,Late night (12-4AM),Under Investigation,
C-5062,FIR/2025/765,Ballari,Cowl Bazaar PS,2025-07-23,Burglary,Wall scaled,Blunt object,Two-wheeler parked,Night (9PM-12AM),Under Investigation,
C-5063,FIR/2025/340,Bengaluru City,Koramangala PS,2025-02-05,Assault,Unlocked entry,Firearm (threat only),Retail shop,Late night (12-4AM),Under Investigation,
C-5064,FIR/2025/554,Tumakuru,Bugudanahalli PS,2025-02-21,Vehicle Theft,No forced entry - distraction,None,Pedestrian - gold chain,Late night (12-4AM),Under Investigation,
C-5065,FIR/2025/483,Mysuru City,Lakshmipuram PS,2025-07-03,Robbery,Window forced,None,Two-wheeler parked,Late night (12-4AM),Unsolved,
C-5066,FIR/2025/180,Belagavi City,Camp PS,2025-03-31,Vehicle Theft,Rear grill cut,Firearm (threat only),Retail shop,Early morning (4-7AM),Solved,
C-5067,FIR/2025/570,Hubballi Dharwad,Gokul Road PS,2025-05-11,Vehicle Theft,Wall scaled,None - snatch and run,Jewellery shop,Early morning (4-7AM),Unsolved,
C-5068,FIR/2025/701,Mangaluru City,Bunder PS,2025-06-26,House Break-in,Unlocked entry,None - snatch and run,Jewellery shop,Late night (12-4AM),Unsolved,
C-5069,FIR/2025/342,Mangaluru City,Kadri PS,2025-02-24,Robbery,Wall scaled,Blunt object,Jewellery shop,Evening (6-9PM),Unsolved,
C-5070,FIR/2025/679,Belagavi City,Shahapur PS,2025-01-05,Robbery,No forced entry - distraction,Blunt object,Residential house,Evening (6-9PM),Unsolved,
C-5071,FIR/2025/735,Ballari,Cowl Bazaar PS,2025-04-08,House Break-in,Unlocked entry,Knife,Retail shop,Daytime (10AM-4PM),Solved,
C-5072,FIR/2025/473,Mangaluru City,Bunder PS,2025-10-24,Burglary,No forced entry - distraction,None,Two-wheeler parked,Evening (6-9PM),Solved,
C-5073,FIR/2025/235,Tumakuru,Town PS,2025-04-13,Burglary,Unlocked entry,Blunt object,ATM area,Evening (6-9PM),Solved,
C-5074,FIR/2025/923,Ballari,Gandhinagar PS,2025-06-23,Robbery,Door lock broken,Blunt object,Pedestrian - gold chain,Daytime (10AM-4PM),Under Investigation,
C-5075,FIR/2025/192,Bengaluru City,Jayanagar PS,2025-07-07,Burglary,Door lock broken,Knife,ATM area,Evening (6-9PM),Under Investigation,
C-5076,FIR/2025/698,Ballari,Gandhinagar PS,2025-05-15,Theft,Unlocked entry,None - snatch and run,Residential house,Evening (6-9PM),Unsolved,
C-5077,FIR/2025/435,Belagavi City,Shahapur PS,2025-10-15,Burglary,No forced entry - distraction,Knife,Pedestrian - gold chain,Late night (12-4AM),Under Investigation,
C-5078,FIR/2025/219,Hubballi Dharwad,Vidyanagar PS,2025-07-29,Burglary,No forced entry - distraction,Firearm (threat only),ATM area,Daytime (10AM-4PM),Under Investigation,
C-5079,FIR/2025/238,Mysuru City,Vijayanagar PS,2025-10-03,Theft,Unlocked entry,Firearm (threat only),Residential house,Late night (12-4AM),Solved,
C-5080,FIR/2025/524,Belagavi City,Shahapur PS,2025-03-21,Cheating/Fraud,No forced entry - distraction,None - snatch and run,Pedestrian - gold chain,Night (9PM-12AM),Under Investigation,
C-5081,FIR/2025/322,Tumakuru,Town PS,2025-07-09,House Break-in,Rear grill cut,Firearm (threat only),Two-wheeler parked,Late night (12-4AM),Under Investigation,
C-5082,FIR/2025/162,Belagavi City,Shahapur PS,2025-07-03,Vehicle Theft,Unlocked entry,None,ATM area,Daytime (10AM-4PM),Under Investigation,
C-5083,FIR/2025/151,Belagavi City,Shahapur PS,2025-01-11,Vehicle Theft,Window forced,Firearm (threat only),Residential house,Early morning (4-7AM),Under Investigation,
C-5084,FIR/2025/700,Ballari,Gandhinagar PS,2025-04-17,Vehicle Theft,Door lock broken,None - snatch and run,Jewellery shop,Late night (12-4AM),Under Investigation,
C-5085,FIR/2025/653,Mysuru City,Vijayanagar PS,2025-03-08,Cheating/Fraud,Door lock broken,None - snatch and run,Residential house,Daytime (10AM-4PM),Solved,
C-5086,FIR/2025/702,Mangaluru City,Bunder PS,2025-05-02,Burglary,No forced entry - distraction,None,Jewellery shop,Late night (12-4AM),Unsolved,
C-5087,FIR/2025/863,Mangaluru City,Bunder PS,2025-02-28,Chain Snatching,Unlocked entry,None,Jewellery shop,Evening (6-9PM),Under Investigation,
C-5088,FIR/2025/326,Bengaluru City,Jayanagar PS,2025-09-15,House Break-in,Unlocked entry,None - snatch and run,Retail shop,Late night (12-4AM),Unsolved,
C-5089,FIR/2025/802,Hubballi Dharwad,Vidyanagar PS,2025-08-07,Robbery,Wall scaled,None,Residential house,Evening (6-9PM),Unsolved,
C-5090,FIR/2025/229,Bengaluru City,Jayanagar PS,2025-02-03,House Break-in,Window forced,None,Two-wheeler parked,Night (9PM-12AM),Solved,
C-5091,FIR/2025/201,Mangaluru City,Kadri PS,2025-08-09,Assault,Rear grill cut,None - snatch and run,Two-wheeler parked,Evening (6-9PM),Under Investigation,
C-5092,FIR/2025/508,Ballari,Cowl Bazaar PS,2025-08-21,Vehicle Theft,Wall scaled,Firearm (threat only),Jewellery shop,Evening (6-9PM),Unsolved,
C-5093,FIR/2025/803,Belagavi City,Camp PS,2025-03-20,Cheating/Fraud,Wall scaled,Blunt object,ATM area,Daytime (10AM-4PM),Unsolved,
C-5094,FIR/2025/931,Belagavi City,Camp PS,2025-07-10,Burglary,Window forced,None,Pedestrian - gold chain,Late night (12-4AM),Under Investigation,
C-5095,FIR/2025/520,Mysuru City,Lakshmipuram PS,2025-03-04,Theft,Rear grill cut,None - snatch and run,Retail shop,Daytime (10AM-4PM),Under Investigation,
C-5096,FIR/2025/619,Mangaluru City,Kadri PS,2025-10-23,Theft,Unlocked entry,None - snatch and run,Two-wheeler parked,Daytime (10AM-4PM),Solved,
C-5097,FIR/2025/880,Mysuru City,Vijayanagar PS,2025-02-28,House Break-in,Door lock broken,None,Two-wheeler parked,Night (9PM-12AM),Unsolved,
C-5098,FIR/2025/129,Mangaluru City,Bunder PS,2025-05-17,Assault,Rear grill cut,None - snatch and run,Retail shop,Night (9PM-12AM),Solved,
C-5099,FIR/2025/773,Mysuru City,Devaraja PS,2025-10-17,Robbery,Unlocked entry,Blunt object,Residential house,Early morning (4-7AM),Solved,
C-5100,FIR/2025/529,Belagavi City,Camp PS,2025-07-12,Chain Snatching,No forced entry - distraction,None,Residential house,Night (9PM-12AM),Solved,
C-5101,FIR/2025/153,Belagavi City,Shahapur PS,2025-02-13,Chain Snatching,Unlocked entry,Blunt object,ATM area,Daytime (10AM-4PM),Under Investigation,
C-5102,FIR/2025/597,Mysuru City,Vijayanagar PS,2025-08-06,Theft,No forced entry - distraction,None,Two-wheeler parked,Evening (6-9PM),Under Investigation,
C-5103,FIR/2025/213,Hubballi Dharwad,Gokul Road PS,2025-08-09,Assault,Unlocked entry,Knife,Retail shop,Late night (12-4AM),Unsolved,
C-5104,FIR/2025/309,Mangaluru City,Kadri PS,2025-01-04,Robbery,Window forced,Knife,Pedestrian - gold chain,Night (9PM-12AM),Solved,
C-5105,FIR/2025/864,Mangaluru City,Bunder PS,2025-09-12,Chain Snatching,Unlocked entry,Blunt object,Two-wheeler parked,Late night (12-4AM),Solved,
C-5106,FIR/2025/953,Belagavi City,Camp PS,2025-10-14,Chain Snatching,Wall scaled,None - snatch and run,ATM area,Early morning (4-7AM),Under Investigation,
C-5107,FIR/2025/982,Tumakuru,Bugudanahalli PS,2025-02-09,Burglary,Wall scaled,None,Pedestrian - gold chain,Late night (12-4AM),Unsolved,
C-5108,FIR/2025/432,Mangaluru City,Kadri PS,2025-01-11,Assault,No forced entry - distraction,Firearm (threat only),Two-wheeler parked,Late night (12-4AM),Unsolved,
C-5109,FIR/2025/546,Mysuru City,Lakshmipuram PS,2025-05-05,House Break-in,No forced entry - distraction,Blunt object,Residential house,Evening (6-9PM),Solved,
C-5110,FIR/2025/897,Hubballi Dharwad,Gokul Road PS,2025-06-20,Burglary,Wall scaled,Blunt object,ATM area,Daytime (10AM-4PM),Solved,
C-5111,FIR/2025/341,Mysuru City,Vijayanagar PS,2025-03-17,Burglary,Rear grill cut,None - snatch and run,Jewellery shop,Daytime (10AM-4PM),Unsolved,
C-5112,FIR/2025/281,Bengaluru City,Indiranagar PS,2025-02-08,Robbery,Door lock broken,Knife,Retail shop,Early morning (4-7AM),Under Investigation,
C-5113,FIR/2025/984,Ballari,Gandhinagar PS,2025-06-15,House Break-in,Rear grill cut,None - snatch and run,Pedestrian - gold chain,Night (9PM-12AM),Under Investigation,
C-5114,FIR/2025/915,Tumakuru,Bugudanahalli PS,2025-06-05,Chain Snatching,Wall scaled,None,Pedestrian - gold chain,Evening (6-9PM),Under Investigation,
C-5115,FIR/2025/158,Mangaluru City,Bunder PS,2025-01-20,Cheating/Fraud,Rear grill cut,None,Two-wheeler parked,Evening (6-9PM),Unsolved,
C-5116,FIR/2025/573,Mangaluru City,Kadri PS,2025-07-16,Burglary,No forced entry - distraction,None,Retail shop,Night (9PM-12AM),Under Investigation,
C-5117,FIR/2025/254,Hubballi Dharwad,Vidyanagar PS,2025-09-14,House Break-in,Rear grill cut,Knife,Two-wheeler parked,Night (9PM-12AM),Unsolved,
C-5118,FIR/2025/824,Bengaluru City,Jayanagar PS,2025-05-07,Burglary,Unlocked entry,None,Retail shop,Early morning (4-7AM),Solved,
C-5119,FIR/2025/795,Belagavi City,Shahapur PS,2025-06-23,Chain Snatching,Unlocked entry,Blunt object,Two-wheeler parked,Evening (6-9PM),Unsolved,
C-5120,FIR/2025/390,Hubballi Dharwad,Vidyanagar PS,2025-07-17,Cheating/Fraud,Window forced,Blunt object,Residential house,Night (9PM-12AM),Under Investigation,
C-5121,FIR/2025/771,Mangaluru City,Bunder PS,2025-06-08,Cheating/Fraud,Window forced,None - snatch and run,ATM area,Early morning (4-7AM),Unsolved,
C-5122,FIR/2025/932,Tumakuru,Bugudanahalli PS,2025-06-18,Chain Snatching,Rear grill cut,None,Two-wheeler parked,Night (9PM-12AM),Unsolved,
C-5123,FIR/2025/416,Mysuru City,Lakshmipuram PS,2025-07-05,Burglary,No forced entry - distraction,Firearm (threat only),Retail shop,Daytime (10AM-4PM),Solved,
C-5124,FIR/2025/402,Mysuru City,Vijayanagar PS,2025-02-09,Cheating/Fraud,Wall scaled,Knife,Jewellery shop,Early morning (4-7AM),Solved,
C-5125,FIR/2025/257,Ballari,Cowl Bazaar PS,2025-07-12,Theft,No forced entry - distraction,Blunt object,Retail shop,Early morning (4-7AM),Under Investigation,
C-5126,FIR/2025/554,Mysuru City,Vijayanagar PS,2025-05-02,Chain Snatching,No forced entry - distraction,Firearm (threat only),Residential house,Evening (6-9PM),Unsolved,
C-5127,FIR/2025/476,Hubballi Dharwad,Gokul Road PS,2025-04-10,House Break-in,Door lock broken,None - snatch and run,Jewellery shop,Daytime (10AM-4PM),Unsolved,
C-5128,FIR/2025/936,Tumakuru,Bugudanahalli PS,2025-03-24,House Break-in,Unlocked entry,Firearm (threat only),Retail shop,Night (9PM-12AM),Unsolved,
C-5129,FIR/2025/205,Mysuru City,Lakshmipuram PS,2025-10-11,Chain Snatching,Unlocked entry,None,ATM area,Evening (6-9PM),Unsolved,
C-5130,FIR/2025/950,Tumakuru,Town PS,2025-03-17,Robbery,Window forced,Knife,Two-wheeler parked,Evening (6-9PM),Under Investigation,
C-5131,FIR/2025/614,Belagavi City,Camp PS,2025-07-22,Vehicle Theft,Wall scaled,Blunt object,Residential house,Evening (6-9PM),Solved,
C-5132,FIR/2025/959,Mangaluru City,Bunder PS,2025-02-20,Assault,Window forced,Blunt object,Jewellery shop,Late night (12-4AM),Unsolved,
C-5133,FIR/2025/877,Tumakuru,Bugudanahalli PS,2025-03-13,Chain Snatching,Door lock broken,None,Two-wheeler parked,Evening (6-9PM),Under Investigation,
C-5134,FIR/2025/955,Tumakuru,Bugudanahalli PS,2025-04-21,House Break-in,Rear grill cut,None,Residential house,Late night (12-4AM),Unsolved,
C-5135,FIR/2025/344,Mysuru City,Lakshmipuram PS,2025-01-25,Assault,Window forced,Blunt object,Jewellery shop,Daytime (10AM-4PM),Solved,
